target_id	length	eff_length	est_counts	tpm
KH.C1.1100.v1.R.ND1-1	3217	3006.87	167.033	4.1714
KH.C1.1101.v1.A.SL1-1	4036	3825.87	2309.1	45.3217
KH.C1.1101.v2.A.ND2-1	4190	3979.87	180.903	3.41327
KH.C1.1102.v1.A.ND1-1	953	742.873	158.993	16.0716
KH.C1.1102.v2.A.SL2-1	700	490.566	71.0068	10.8692
KH.C1.1103.v1.A.SL1-1	1359	1148.87	1008	65.8847
KH.C1.1104.v1.A.SL1-1	1688	1477.87	2485.02	126.267
KH.C1.1105.v1.A.ND1-1	1333	1122.87	3	0.200626
KH.C1.1106.v1.A.SL1-1	1905	1694.87	373.567	16.5511
KH.C1.1107.v1.A.ND1-1	2081	1870.87	0.0444276	0.00178322
KH.C1.1107.v1.A.nonSL2-1	2106	1895.87	19.2505	0.762478
KH.C1.1107.v1.A.nonSL3-1	2102	1891.87	401.3	15.9284
KH.C1.1107.v1.A.nonSL4-1	2074	1863.87	9.74338	0.392544
KH.C1.1107.v1.A.nonSL5-1	2059	1848.87	134.6	5.46681
KH.C1.1107.v1.A.nonSL6-1	2054	1843.87	863.381	35.1614
KH.C1.1107.v1.R.ND1-1	2081	1870.87	0.0444276	0.00178322
KH.C1.1108.v1.A.ND1-1	952	741.873	0	0
KH.C1.1109.v1.A.SL1-1	3148	2937.87	438.064	11.1969
KH.C1.1109.v1.A.SL2-1	3157	2946.87	1473.76	37.5544
KH.C1.1109.v2.A.SL3-1	3028	2817.87	0	0
KH.C1.1109.v2.A.nonSL4-1	2879	2668.87	0	0
KH.C1.1109.v2.A.nonSL6-1	2910	2699.87	0	0
KH.C1.1109.v3.A.SL5-1	1094	883.867	260.174	22.104
KH.C1.111.v1.A.SL1-1	1011	800.867	16.2139	1.52027
KH.C1.111.v2.A.SL1-2	3115	2904.87	1938.79	50.1184
KH.C1.111.v3.A.SL3-2	2790	2579.87	0	0
KH.C1.111.v4.A.ND2-2	2956	2745.87	0	0
KH.C1.111.v4.R.ND2-2	2956	2745.87	0	0
KH.C1.111.v5.A.SL3-2	2892	2681.87	0	0
KH.C1.1110.v1.A.SL1-1	1720	1509.87	0.0274458	0.00136499
KH.C1.1110.v1.A.SL2-1	1711	1500.87	148.668	7.43824
KH.C1.1111.v1.A.ND1-1	496	291.413	8.09079	2.08485
KH.C1.1112.v1.A.ND1-1	1730	1519.87	354.493	17.5144
KH.C1.1112.v1.A.SL6-1	1661	1450.87	761.484	39.4119
KH.C1.1112.v1.A.nonSL2-1	1713	1502.87	0	0
KH.C1.1112.v1.A.nonSL3-1	1666	1455.87	296.201	15.2777
KH.C1.1112.v1.A.nonSL4-1	1716	1505.87	0	0
KH.C1.1112.v1.A.nonSL5-1	1138	927.867	63.8225	5.16513
KH.C1.1112.v1.A.nonSL7-1	1711	1500.87	0	0
KH.C1.1113.v1.A.ND1-1	1067	856.867	131.419	11.5169
KH.C1.1114.v1.A.SL1-1	2361	2150.87	409.365	14.2919
KH.C1.1114.v1.A.SL2-1	2340	2129.87	242.635	8.55449
KH.C1.1115.v1.A.ND1-1	1031	820.867	5	0.457394
KH.C1.1116.v1.A.SL1-1	1125	914.867	204	16.7443
KH.C1.1117.v1.A.SL1-2	1527	1316.87	8.23629	0.46966
KH.C1.1117.v2.A.SL1-1	1373	1162.87	14.8857	0.961245
KH.C1.1118.v1.A.SL1-1	1449	1238.87	2374.58	143.932
KH.C1.1118.v2.A.SL2-1	827	617.034	720.31	87.6606
KH.C1.1119.v1.A.SL1-1	2874	2663.87	7579	213.645
KH.C1.112.v1.A.ND1-1	1225	1014.87	44.286	3.27681
KH.C1.112.v2.A.SL2-1	950	739.873	26.714	2.71129
KH.C1.1120.v1.A.SL1-1	1051	840.867	197.783	17.6626
KH.C1.1120.v1.A.SL2-1	1067	856.867	214.217	18.773
KH.C1.1121.v1.A.SL1-1	1546	1335.87	306	17.2009
